Stock A,Stock B,Lag,Baseline R-squared,Enhanced R-squared,R-squared Improvement
values,to,5s,0.23142698761894887,0.5481608137118665,0.31673382609291767
values,to,10s,0.24247868221137459,0.5314670716597647,0.2889883894483901
values,to,1min,0.267025134370225,0.5472900973590505,0.28026496298882553
values,to,5min,0.26194090325664965,0.5131255182804857,0.25118461502383604
values,to,50ms,0.49401086994943433,0.7680165780915178,0.27400570814208347
values,to,100ms,0.4936991025180716,0.7679629553895596,0.274263852871488
values,to,500ms,0.49317539275558353,0.7652827225749356,0.27210732981935204
values,to,1s,0.49452267422317964,0.7665596591741295,0.27203698495094986
values,to,5s,0.4997441767308385,0.7703055196920787,0.27056134296124024
values,to,10s,0.5049689457368867,0.7735529858180415,0.2685840400811549
values,to,1min,0.509752915495727,0.7630585242843781,0.25330560878865116
values,to,5min,0.5181954784081435,0.7692521836447225,0.25105670523657897
values,to,50ms,0.4402214411263975,0.676468341690315,0.2362469005639175
values,to,100ms,0.44049460245720173,0.676129456048597,0.23563485359139524
values,to,500ms,0.42959215095426306,0.6615081056629606,0.23191595470869752
values,to,1s,0.4111773055307718,0.6427200018380799,0.23154269630730806
values,to,5s,0.4017446977450061,0.6457304513803589,0.2439857536353528
values,to,10s,0.3712491179549534,0.6233126022792681,0.2520634843243147
values,to,1min,0.368269379140009,0.642742194985658,0.274472815845649
values,to,5min,0.38286814639876365,0.6770672360387524,0.29419908963998875
values,to,50ms,0.5246809367403868,0.8180605562689086,0.29337961952852176
values,to,100ms,0.525640833420512,0.8165997025445446,0.29095886912403257
values,to,500ms,0.5215249811481004,0.8136758482094336,0.2921508670613332
values,to,1s,0.520003944610161,0.8112752216232567,0.29127127701309574
values,to,5s,0.5150560757466851,0.8135726513753778,0.2985165756286927
values,to,10s,0.5214819532203914,0.8204780806434391,0.2989961274230477
values,to,1min,0.5191843019585201,0.7962399664767897,0.2770556645182697
values,to,5min,0.4805135062695778,0.7833134887260484,0.30279998245647066
values,to,50ms,0.11994819340404439,0.3529519959004236,0.2330038024963792
values,to,100ms,0.12380438407576011,0.353244559195212,0.22944017511945192
values,to,500ms,0.14546976265500522,0.32995112197228116,0.18448135931727594
values,to,1s,0.1261009341628644,0.3420774941129002,0.21597655995003584
values,to,5s,0.15203478420702166,0.35188762607184154,0.19985284186481989
values,to,10s,0.12307365083056876,0.3240336976359399,0.20096004680537116
values,to,1min,0.0770258204579014,0.26595969606191916,0.18893387560401775
values,to,5min,0.024412361786654402,0.21218659339033552,0.18777423160368112
values,to,50ms,0.45019391265220254,0.5857299438335692,0.1355360311813667
values,to,100ms,0.45141076145452297,0.5879631195651276,0.13655235811060462
values,to,500ms,0.430880095099738,0.5757897432372303,0.1449096481374923
values,to,1s,0.4363862725260461,0.5803739554250376,0.14398768289899144
values,to,5s,0.439297892092946,0.5783097877051752,0.13901189561222915
values,to,10s,0.44406008872444047,0.6116868482534361,0.16762675952899564
values,to,1min,0.4202458410967548,0.6035368756119204,0.1832910345151656
values,to,5min,0.4133599047894312,0.5264742995632257,0.11311439477379448
values,to,50ms,0.4213850715688098,0.6196751451342786,0.1982900735654688
values,to,100ms,0.41994097163253685,0.6343815536547098,0.21444058202217298
values,to,500ms,0.42019705849379385,0.6299848325025565,0.2097877740087627
values,to,1s,0.33087977688749215,0.5293680565233173,0.19848827963582516
values,to,5s,0.3196591307592831,0.5611576793199251,0.241498548560642
values,to,10s,0.2723514089126893,0.415095912334412,0.14274450342172273
values,to,1min,0.2354373169032956,0.4133310972796417,0.17789378037634607
values,to,5min,-0.0984547413912007,0.3226575625886149,0.4211123039798156
values,to,50ms,-0.07013760203076491,0.10030434955854928,0.1704419515893142
values,to,100ms,-0.06331119593417456,0.10672453728896392,0.17003573322313847
values,to,500ms,-0.07235798518133718,0.0993069485785969,0.17166493375993408
values,to,1s,-0.05636758580362211,0.08668970248393792,0.14305728828756004
values,to,5s,-0.09618368662738863,0.06765913608123708,0.1638428227086257
values,to,10s,-0.11505518904549672,0.015341758744064404,0.13039694778956112
values,to,1min,-0.13039889897797896,0.009951642739039146,0.1403505417170181
values,to,5min,-0.0808624931046833,0.05716518021740136,0.13802767332208465
