ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-10-07T08:00:00.180292287Z,2024-10-07T08:00:00.180126599Z,10,2,38,A,A,2,235.0,13,130,165688,277602,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,235.0,1,13,1,1,193.2,,6,0,1,0,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.183196270Z,2024-10-07T08:00:00.183030090Z,10,2,38,A,A,0,226.79,2,130,166180,277623,223.0,226.79,4,2,1,1,217.0,229.79,100,1,1,1,200.0,234.0,1,5,1,1,193.2,235.0,6,13,1,1,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.195142800Z,2024-10-07T08:00:00.194977016Z,10,2,16244,A,B,0,250.54,22,130,165784,277789,250.54,253.28,22,399,1,1,249.96,255.75,1,10,1,1,248.18,264.0,399,45,1,1,245.0,274.0,14,50,1,1,239.0,275.0,10,3,1,1,236.0,279.9,20,60,1,1,233.18,295.0,858,10,1,1,223.23,300.0,200,1,1,1,215.0,318.88,10,23,1,1,205.0,,10,0,1,0,TSLA
2024-10-07T08:00:00.195414006Z,2024-10-07T08:00:00.195248520Z,10,2,16244,A,A,0,250.91,19,130,165486,277797,250.54,250.91,22,19,1,1,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,274.0,10,50,1,1,236.0,275.0,20,3,1,1,233.18,279.9,858,60,1,1,223.23,295.0,200,10,1,1,215.0,300.0,10,1,1,1,205.0,318.88,10,23,1,1,TSLA
2024-10-07T08:00:00.195764334Z,2024-10-07T08:00:00.195597310Z,10,2,17709,A,B,0,124.87,16,130,167024,277803,124.87,126.31,16,801,1,1,123.77,,801,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.195921223Z,2024-10-07T08:00:00.195754791Z,10,2,17709,A,A,0,125.62,16,130,166432,277807,124.87,125.62,16,16,1,1,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.202348807Z,2024-10-07T08:00:00.202180475Z,10,2,38,A,A,4,250.0,2,128,168332,277884,223.0,226.79,4,2,1,1,217.0,229.79,100,1,1,1,200.0,234.0,1,5,1,1,193.2,235.0,6,13,1,1,190.0,250.0,1,2,1,1,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.222447600Z,2024-10-07T08:00:00.222281440Z,10,2,17709,A,B,1,124.5,100,130,166160,278069,124.87,125.62,16,16,1,1,124.5,126.31,100,801,1,1,123.77,,801,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.222467793Z,2024-10-07T08:00:00.222301461Z,10,2,17709,A,A,1,125.7,100,130,166332,278070,124.87,125.62,16,16,1,1,124.5,125.7,100,100,1,1,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.226271130Z,2024-10-07T08:00:00.226104340Z,10,2,16244,A,B,0,250.54,50,130,166790,278272,250.54,250.91,72,19,2,1,249.96,253.28,1,399,1,1,248.18,255.75,399,10,1,1,245.0,264.0,14,45,1,1,239.0,274.0,10,50,1,1,236.0,275.0,20,3,1,1,233.18,279.9,858,60,1,1,223.23,295.0,200,10,1,1,215.0,300.0,10,1,1,1,205.0,318.88,10,23,1,1,TSLA
2024-10-07T08:00:00.226290483Z,2024-10-07T08:00:00.226124095Z,10,2,16244,A,A,1,250.95,50,130,166388,278273,250.54,250.91,72,19,2,1,249.96,250.95,1,50,1,1,248.18,253.28,399,399,1,1,245.0,255.75,14,10,1,1,239.0,264.0,10,45,1,1,236.0,274.0,20,50,1,1,233.18,275.0,858,3,1,1,223.23,279.9,200,60,1,1,215.0,295.0,10,10,1,1,205.0,300.0,10,1,1,1,TSLA
2024-10-07T08:00:00.226639346Z,2024-10-07T08:00:00.226473481Z,10,2,38,A,B,0,223.95,200,130,165865,278290,223.95,226.79,200,2,1,1,223.0,229.79,4,1,1,1,217.0,234.0,100,5,1,1,200.0,235.0,1,13,1,1,193.2,250.0,6,2,1,1,190.0,,1,0,1,0,167.0,,2,0,1,0,10.0,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
